from,to,type,role,amount,link,startdate,enddate
1,2,RELATED_TO,,,,,
2,3,PARTICIPATED_IN,,,,,
3,4,LINKED_TO,,,,,
3,5,LINKED_TO,,,,,
3,6,LINKED_TO,,,,,
3,7,LINKED_TO,,,,,
3,8,LINKED_TO,,,,,
3,9,LINKED_TO,,,,,
3,10,LINKED_TO,,,,,
3,11,LINKED_TO,,,,,
3,12,LINKED_TO,,,,,
3,13,LINKED_TO,,,,,
3,14,LINKED_TO,,,,,
3,15,LINKED_TO,,,,,
3,16,LINKED_TO,,,,,
3,17,LINKED_TO,,,,,
3,18,LINKED_TO,,,,,
3,19,LINKED_TO,,,,,
20,2,OWNER_OF,Shareholder,95%,https://drive.google.com/file/d/1W30cWcAfdwbfvAZBA6bpmxZ3akNr7-bk/view?usp=drive_link,25-10-2022,25-03-2024
21,2,OWNER_OF,Shareholder,5%,https://drive.google.com/file/d/1W30cWcAfdwbfvAZBA6bpmxZ3akNr7-bk/view?usp=drive_link,25-10-2022,25-03-2024
2,22,MANAGED_BY,Director,,https://drive.google.com/file/d/1W30cWcAfdwbfvAZBA6bpmxZ3akNr7-bk/view?usp=drive_link,25-10-2022,25-03-2024
2,23,MANAGED_BY,Commissioner,,https://drive.google.com/file/d/1W30cWcAfdwbfvAZBA6bpmxZ3akNr7-bk/view?usp=drive_link,25-10-2022,25-03-2024
20,24,OWNER_OF,Shareholder,95%,https://drive.google.com/file/d/1HqPfK7HrFzZwprXAGn8mEHX-LqlWylnM/view?usp=drive_link,22-02-2023,08-04-2024
21,24,OWNER_OF,Shareholder,5%,https://drive.google.com/file/d/1HqPfK7HrFzZwprXAGn8mEHX-LqlWylnM/view?usp=drive_link,22-02-2023,08-04-2024
24,22,MANAGED_BY,Director,,https://drive.google.com/file/d/1HqPfK7HrFzZwprXAGn8mEHX-LqlWylnM/view?usp=drive_link,22-02-2023,08-04-2024
24,23,MANAGED_BY,Commissioner,,https://drive.google.com/file/d/1HqPfK7HrFzZwprXAGn8mEHX-LqlWylnM/view?usp=drive_link,22-02-2023,08-04-2024
